# KSW Arabic — FULL master glossary / جدول المصطلحات العربية الكامل
# راجع عمود proposed_ar وعدّله مباشرة حيث تريد صيغة مختلفة، ثم أعد الملف.
# status: changed = قرار مُدار | matched-core = مطابق لترجمة Odoo الرسمية
#         changed (auto) = تنظيف تلقائي (إزالة تشكيل/توحيد مفهوم) | unchanged = يبقى كما هو
# source: labour-law/ksa-hr/sap-oracle/odoo-core/unify/auto/keep-current
# ملاحظة: العبارات الطويلة (تلميحات/مساعدة/رسائل) تُعالَج آلياً ولا تظهر هنا.
term_en,current_ar,proposed_ar,status,source,modules,note
# ═══ [changed] الرواتب — Payroll ═══
Allowance,البدل,بدل,changed,ksa-hr,commissions,الأساسي «علاوة» = زيادة راتب — خطأ سياقي
Attendance Deduction,خصم الحضور,خصم الغياب والتأخير,changed,ksa-hr,payroll,وصف وظيفي دقيق؛ الحالي «خصم الحضور» عكس المعنى
Attendance Deduction Breakdown,تفصيل خصم الحضور,تفصيل خصم الغياب والتأخير,changed,ksa-hr,payroll,
Auto-Email Payslip,إرسال قسيمة الراتب تلقائياً,إرسال كشف الراتب تلقائيا,changed,sap-oracle,payroll,
Daily Rate,الأجر اليومي | المعدل اليومي,الأجر اليومي,changed,unify,"annual_leave,payroll",يوحّد «الأجر اليومي» و«المعدل اليومي»
EOS Payslip,راتب نهاية الخدمة,كشف راتب نهاية الخدمة,changed,unify,eos_leave,يوحّد «قسيمة/راتب نهاية الخدمة»
Forwarded From Payslip,منقول من قسيمة الراتب,مرحل من كشف راتب سابق,changed,sap-oracle,deduction,المصطلح المحاسبي للترحيل
GOSI Rate (%),نسبة التأمينات (٪),نسبة التأمينات الاجتماعية (٪),changed,labour-law,payroll,
Hourly Wage,الأجر الساعي,الأجر بالساعة,changed,ksa-hr,payroll,
Net Salary,صافي الراتب,صافي الراتب,changed,ksa-hr,payroll,
Payslip,قسيمة الراتب,كشف الراتب,changed,sap-oracle,"deduction,payroll",قرار المستخدم: كشف الراتب (وليس قسيمة)
Payslip Auto-Email Template,قالب البريد التلقائي لقسيمة الراتب,قالب الإرسال التلقائي لكشف الراتب,changed,sap-oracle,payroll,
Payslip Batch,دفعة قسيمة الراتب,كشف الرواتب,changed,sap-oracle,payroll,قرار المستخدم: الدفعة الشهرية = كشف الرواتب
Payslip Batch — Bank Account NET Total,دفعة قسائم الراتب — صافي الحساب البنكي,كشف الرواتب — إجمالي الصافي حسب البنك,changed,sap-oracle,payroll,
Payslip Batch — Skipped Employee Log,دفعة قسائم الراتب — سجل الموظفين المتخطَّين,كشف الرواتب — سجل الموظفين المستبعدين,changed,ksa-hr,payroll,«مستبعد» بدل «متخطى»
Payslip Batches,دفعات المرتب,كشوف الرواتب,changed,sap-oracle,payroll,
Payslip File Order,ترتيب ملف قسيمة الراتب,ترتيب ملف كشف الراتب,changed,sap-oracle,payroll,
Payslip Line,بنود المرتب,بند كشف الراتب,changed,sap-oracle,payroll,
Payslip Lines,بنود قسيمة الراتب,بنود كشف الراتب,changed,sap-oracle,payroll,
Payslip Worked Days,أيام العمل في القسيمة,أيام العمل في كشف الراتب,changed,sap-oracle,payroll,
Payslip: {{ object.number }},قسيمة الراتب: {{ object.number }},كشف الراتب: {{ object.number }},changed,sap-oracle,payroll,
Salary Rule,قاعدة مرتبات,قاعدة الراتب,changed,ksa-hr,"eos_leave,payroll",om الأساسي: «قاعدة مرتبات» — سجل مصري
Saturday Overtime Credit,رصيد إضافي السبت,رصيد العمل الإضافي للسبت,changed,labour-law,payroll,
Saturday Short-Shift Overtime,إضافي وردية السبت القصيرة,العمل الإضافي لوردية السبت القصيرة,changed,labour-law,working_schedule,
Search Payslip Lines,بحث في بنود قسيمة الراتب,البحث في بنود كشف الراتب,changed,sap-oracle,payroll,
Skipped,متخطى,مستبعد,changed,ksa-hr,deduction,
Social Insurance (GOSI),التأمينات الاجتماعية (GOSI),التأمينات الاجتماعية,changed,labour-law,payroll,
Transportation Allowance,بدل المواصلات,بدل النقل,changed,ksa-hr,payroll,صيغة العقود السعودية
Vacation Payslip,قسيمة راتب الإجازة,كشف راتب الإجازة,changed,sap-oracle,payroll,
Vacation Payslips,قسائم رواتب الإجازة,كشوف رواتب الإجازة,changed,sap-oracle,payroll,
Wage,الأجر | الراتب,الأجر,changed,labour-law,"base_security,commissions",مصطلح نظام العمل
Worked Days,أيام العمل,أيام العمل,changed,ksa-hr,"commissions,payroll",الأساسي مطوَّل
WPS (Bank Transfer),WPS (تحويل بنكي),حماية الأجور (تحويل بنكي),changed,labour-law,payroll,نظام حماية الأجور
WPS Text File Generator,مولّد الملف النصي لـ WPS,مولد الملف النصي لنظام حماية الأجور (WPS),changed,labour-law,payroll,
# ═══ [changed] نهاية الخدمة — End of Service ═══
End-of-Service (Saudi Art. 84–88),مكافأة نهاية الخدمة (المواد 84–88 من نظام العمل السعودي) | نهاية الخدمة (المواد السعودية 84–88),مكافأة نهاية الخدمة (المواد 84–88 من نظام العمل),changed,unify,"annual_leave,deduction",
